Date,High,Low,Open,Close,Volume,Adj Close
2009-03-27,2.75,2.5,2.5,2.75,1200.0,2.75
2009-03-30,2.25,2.25,2.25,2.25,600.0,2.25
2009-03-31,2.75,2.5,2.75,2.5,400.0,2.5
2009-04-01,2.5,2.5,2.5,2.5,0.0,2.5
2009-04-02,2.5,2.5,2.5,2.5,0.0,2.5
2009-04-03,2.5,2.5,2.5,2.5,0.0,2.5
2009-04-06,2.5,2.5,2.5,2.5,1000.0,2.5
2009-04-07,2.5,2.5,2.5,2.5,600.0,2.5
2009-04-08,2.5,2.5,2.5,2.5,100.0,2.5
2009-04-09,2.75,2.75,2.75,2.75,0.0,2.75
2009-04-13,2.75,2.75,2.75,2.75,0.0,2.75
2009-04-14,2.75,2.75,2.75,2.75,0.0,2.75
2009-04-15,3.5,2.75,2.75,3.5,2400.0,3.5
2009-04-16,4.0,2.75,3.5,2.75,3200.0,2.75
2009-04-17,3.375,2.75,2.75,3.375,400.0,3.375
2009-04-20,3.375,2.5,2.5,3.375,100.0,3.375
2009-04-21,3.375,2.5,3.375,2.875,9900.0,2.875
2009-04-22,3.375,2.25,2.75,2.25,17700.0,2.25
2009-04-23,2.5,2.125,2.375,2.25,7100.0,2.25
2009-04-24,2.375,1.899999976158142,2.25,2.0,7500.0,2.0
2009-04-27,2.5,2.0,2.5,2.25,3900.0,2.25
2009-04-28,2.25,2.25,2.25,2.25,0.0,2.25
2009-04-29,2.25,2.25,2.25,2.25,0.0,2.25
2009-04-30,2.375,2.0,2.375,2.0,2400.0,2.0
2009-05-01,2.75,2.25,2.25,2.375,3600.0,2.375
2009-05-04,2.125,2.0,2.125,2.0250000953674316,1500.0,2.0250000953674316
2009-05-05,2.25,2.25,2.25,2.25,200.0,2.25
2009-05-06,2.5,2.0,2.174999952316284,2.375,2200.0,2.375
2009-05-07,2.375,1.5,2.375,2.0,2800.0,2.0
2009-05-08,2.125,2.125,2.125,2.125,200.0,2.125
2009-05-11,1.9500000476837158,1.75,1.9500000476837158,1.75,700.0,1.75
2009-05-12,1.75,1.75,1.75,1.75,1600.0,1.75
2009-05-13,1.625,1.2999999523162842,1.625,1.5,4700.0,1.5
2009-05-14,1.774999976158142,1.25,1.375,1.774999976158142,9900.0,1.774999976158142
2009-05-15,2.25,2.0,2.0,2.125,9000.0,2.125
2009-05-18,2.450000047683716,1.75,2.375,2.0,15100.0,2.0
2009-05-19,2.25,1.875,2.125,2.0,17500.0,2.0
2009-05-20,2.0,1.75,2.0,1.75,8100.0,1.75
2009-05-21,2.25,1.600000023841858,2.25,1.875,35700.0,1.875
2009-05-22,2.25,1.7000000476837158,1.975000023841858,1.875,31900.0,1.875
2009-05-26,2.049999952316284,1.75,2.049999952316284,1.774999976158142,10400.0,1.774999976158142
2009-05-27,2.2750000953674316,1.75,1.774999976158142,2.1500000953674316,47900.0,2.1500000953674316
2009-05-28,3.0,2.25,2.75,2.75,55800.0,2.75
2009-05-29,3.25,2.625,2.875,2.875,57900.0,2.875
2009-06-01,3.0,2.25,3.0,2.5,28600.0,2.5
2009-06-02,2.5250000953674316,1.7999999523162842,2.5250000953674316,2.0250000953674316,48500.0,2.0250000953674316
2009-06-03,2.875,2.0250000953674316,2.0250000953674316,2.875,20800.0,2.875
2009-06-04,3.125,2.375,2.875,3.0,44900.0,3.0
2009-06-05,3.125,2.625,3.0,3.0,23000.0,3.0
2009-06-08,3.0,2.2750000953674316,3.0,2.5,26900.0,2.5
2009-06-09,2.5,2.125,2.5,2.325000047683716,23100.0,2.325000047683716
2009-06-10,2.5,2.0,2.5,2.25,22400.0,2.25
2009-06-11,2.950000047683716,2.0,2.25,2.875,66100.0,2.875
2009-06-12,2.9749999046325684,2.0250000953674316,2.950000047683716,2.5,44100.0,2.5
2009-06-15,2.75,2.125,2.75,2.5,16500.0,2.5
2009-06-16,2.625,2.2750000953674316,2.5999999046325684,2.5,22000.0,2.5
2009-06-17,2.625,2.25,2.625,2.25,14500.0,2.25
2009-06-18,2.375,2.125,2.325000047683716,2.325000047683716,26000.0,2.325000047683716
2009-06-19,2.325000047683716,2.125,2.325000047683716,2.125,16000.0,2.125
2009-06-22,2.375,2.0250000953674316,2.25,2.075000047683716,23900.0,2.075000047683716
2009-06-23,2.125,1.9249999523162842,2.075000047683716,2.125,22700.0,2.125
2009-06-24,2.174999952316284,1.975000023841858,2.174999952316284,1.975000023841858,18100.0,1.975000023841858
2009-06-25,2.2249999046325684,1.9249999523162842,2.2249999046325684,1.975000023841858,10900.0,1.975000023841858
2009-06-26,2.125,1.75,2.0,1.9500000476837158,13200.0,1.9500000476837158
2009-06-29,2.0,1.75,1.899999976158142,2.0,2800.0,2.0
2009-06-30,2.1500000953674316,1.7999999523162842,1.7999999523162842,1.975000023841858,4900.0,1.975000023841858
2009-07-01,1.975000023841858,1.7999999523162842,1.975000023841858,1.875,3300.0,1.875
