Date,High,Low,Open,Close,Volume,Adj Close
2012-06-26,235.0,211.25,217.0,230.5,800.0,230.5
2012-06-27,233.75,213.5,233.75,224.75,200.0,224.75
2012-06-28,225.75,215.25,223.5,220.0,200.0,220.0
2012-06-29,236.25,217.75,224.5,234.0,500.0,234.0
2012-07-02,233.75,221.75,233.75,231.25,300.0,231.25
2012-07-03,230.5,223.25,230.5,230.0,0.0,230.0
2012-07-05,228.25,217.75,228.25,221.5,200.0,221.5
2012-07-06,219.25,208.5,219.25,216.0,200.0,216.0
2012-07-09,219.75,209.5,216.75,217.5,100.0,217.5
2012-07-10,217.5,206.0,217.5,208.5,200.0,208.5
2012-07-11,210.75,200.0,208.5,208.0,2800.0,208.0
2012-07-12,213.25,205.5,207.5,207.5,300.0,207.5
2012-07-13,218.75,207.0,207.5,211.0,2500.0,211.0
2012-07-16,217.5,206.5,213.75,216.0,100.0,216.0
2012-07-17,218.75,213.75,218.75,213.75,0.0,213.75
2012-07-18,215.25,208.75,214.25,214.75,100.0,214.75
2012-07-19,211.25,210.75,211.0,211.25,0.0,211.25
2012-07-20,212.25,208.75,210.5,210.0,200.0,210.0
2012-07-23,215.25,201.25,206.0,201.25,100.0,201.25
2012-07-24,212.0,200.0,201.5,201.25,100.0,201.25
2012-07-25,208.75,199.0,203.5,199.0,100.0,199.0
2012-07-26,218.75,200.0,203.25,206.0,600.0,206.0
2012-07-27,216.25,207.0,207.0,209.0,300.0,209.0
2012-07-30,222.25,208.0,210.0,211.25,1000.0,211.25
2012-07-31,211.75,193.75,211.75,197.75,900.0,197.75
2012-08-01,211.25,185.0,185.0,190.0,1200.0,190.0
2012-08-02,194.0,177.75,189.0,186.25,600.0,186.25
2012-08-03,194.5,181.25,188.25,183.5,800.0,183.5
2012-08-06,195.0,180.25,183.5,187.25,400.0,187.25
2012-08-07,195.0,183.75,188.75,185.5,300.0,185.5
2012-08-08,188.75,178.5,185.75,186.75,300.0,186.75
2012-08-09,187.25,178.5,184.75,182.25,200.0,182.25
2012-08-10,193.25,181.25,182.5,190.0,900.0,190.0
2012-08-13,196.0,187.5,191.5,194.25,1100.0,194.25
2012-08-14,198.0,185.5,192.5,187.25,200.0,187.25
2012-08-15,203.5,185.5,185.75,197.5,1400.0,197.5
2012-08-16,203.25,185.25,199.0,202.25,1000.0,202.25
2012-08-17,211.0,200.75,201.25,209.75,100.0,209.75
2012-08-20,208.75,202.0,208.75,202.75,100.0,202.75
2012-08-21,206.75,198.75,203.75,199.75,300.0,199.75
2012-08-22,200.25,197.5,200.0,198.25,0.0,198.25
2012-08-23,203.5,197.5,197.75,201.25,700.0,201.25
2012-08-24,204.75,198.75,204.75,202.5,0.0,202.5
2012-08-27,205.0,192.75,202.5,196.5,400.0,196.5
2012-08-28,200.75,188.75,194.5,200.75,400.0,200.75
2012-08-29,207.5,196.25,198.75,200.5,500.0,200.5
2012-08-30,202.25,194.5,198.0,198.5,900.0,198.5
2012-08-31,206.5,199.75,200.0,205.25,100.0,205.25
2012-09-04,231.0,203.75,204.25,212.0,1600.0,212.0
2012-09-05,217.5,207.5,209.5,215.25,3200.0,215.25
2012-09-06,216.25,206.25,216.25,212.5,7000.0,212.5
2012-09-07,216.25,212.5,213.5,214.25,1600.0,214.25
2012-09-10,216.75,210.75,216.25,212.5,4400.0,212.5
2012-09-11,213.5,209.25,213.5,210.75,200.0,210.75
2012-09-12,211.75,204.0,206.5,209.0,200.0,209.0
2012-09-13,210.75,202.75,208.5,210.0,200.0,210.0
2012-09-14,212.5,206.75,210.0,211.25,3300.0,211.25
2012-09-17,210.75,203.75,210.75,204.25,1500.0,204.25
2012-09-18,204.5,195.5,204.25,198.75,1300.0,198.75
2012-09-19,202.75,196.5,198.75,202.0,3400.0,202.0
2012-09-20,202.5,196.5,196.5,199.0,11000.0,199.0
2012-09-21,202.5,199.5,202.0,199.5,700.0,199.5
2012-09-24,201.75,197.5,198.5,198.75,500.0,198.75
2012-09-25,201.25,194.25,196.5,195.75,600.0,195.75
2012-09-26,196.5,193.25,196.5,195.25,200.0,195.25
2012-09-27,196.75,193.25,193.25,196.75,100.0,196.75
2012-09-28,195.5,186.0,195.5,186.25,600.0,186.25
2012-10-01,191.0,185.0,187.0,188.0,500.0,188.0
2012-10-02,184.25,176.5,181.25,180.75,1200.0,180.75
2012-10-03,182.75,175.75,182.75,181.0,200.0,181.0
2012-10-04,197.5,183.25,183.25,195.25,4500.0,195.25
2012-10-05,203.5,196.5,196.5,200.75,2000.0,200.75
2012-10-08,206.25,200.25,206.25,201.75,1500.0,201.75
2012-10-09,199.25,194.0,196.25,194.5,200.0,194.5
2012-10-10,195.75,178.25,195.75,178.75,300.0,178.75
2012-10-11,193.5,179.75,180.5,186.75,900.0,186.75
2012-10-12,187.25,181.0,186.0,183.5,400.0,183.5
2012-10-15,186.25,181.25,182.5,185.0,200.0,185.0
2012-10-16,197.5,182.5,187.5,190.0,2100.0,190.0
2012-10-17,197.75,184.75,190.25,194.0,600.0,194.0
2012-10-18,197.0,184.0,184.0,195.25,0.0,195.25
2012-10-19,175.0,163.75,175.0,172.5,6100.0,172.5
2012-10-22,175.0,165.25,172.75,167.5,600.0,167.5
2012-10-23,166.5,153.5,165.5,160.75,600.0,160.75
2012-10-24,162.5,154.0,162.0,157.0,200.0,157.0
2012-10-25,174.0,157.25,160.25,174.0,4900.0,174.0
2012-10-26,172.0,161.75,171.0,166.25,800.0,166.25
2012-10-31,170.75,160.0,167.5,167.75,1100.0,167.75
2012-11-01,173.5,165.75,168.25,166.5,1700.0,166.5
2012-11-02,166.5,159.75,166.5,162.75,800.0,162.75
2012-11-05,163.5,154.0,163.25,162.25,200.0,162.25
2012-11-06,164.75,163.25,163.25,164.75,0.0,164.75
2012-11-07,163.75,154.25,162.0,158.25,400.0,158.25
2012-11-08,161.5,150.0,161.5,150.25,900.0,150.25
2012-11-09,161.5,151.5,151.5,157.25,300.0,157.25
2012-11-12,160.25,151.25,158.5,154.0,400.0,154.0
2012-11-13,160.5,147.75,153.75,150.5,1000.0,150.5
2012-11-14,153.25,136.25,145.25,146.75,1500.0,146.75
2012-11-15,141.5,134.0,138.75,136.0,800.0,136.0
2012-11-16,142.5,132.5,135.5,136.75,600.0,136.75
2012-11-19,143.75,135.25,138.75,140.25,1800.0,140.25
2012-11-20,146.75,131.5,146.75,143.75,300.0,143.75
2012-11-21,153.0,140.0,144.5,153.0,1200.0,153.0
2012-11-23,154.25,149.75,153.0,151.25,200.0,151.25
2012-11-26,157.0,145.0,150.0,152.0,300.0,152.0
