Date,High,Low,Open,Close,Volume,Adj Close
2010-05-03,656.25,656.25,656.25,656.25,0.0,656.25
2010-05-04,656.25,656.25,656.25,656.25,0.0,656.25
2010-05-05,600.0,600.0,600.0,600.0,0.0,600.0
2010-05-06,562.5,562.5,562.5,562.5,0.0,562.5
2010-05-07,562.5,562.5,562.5,562.5,0.0,562.5
2010-05-10,562.5,562.5,562.5,562.5,0.0,562.5
2010-05-11,562.5,562.5,562.5,562.5,0.0,562.5
2010-05-12,750.0,470.625,472.5,750.0,0.0,750.0
2010-05-13,525.0,525.0,525.0,525.0,0.0,525.0
2010-05-14,470.625,468.75,470.625,468.75,0.0,468.75
2010-05-17,470.625,470.625,470.625,470.625,0.0,470.625
2010-05-18,470.625,412.5,470.625,412.5,0.0,412.5
2010-05-19,412.5,412.5,412.5,412.5,0.0,412.5
2010-05-20,412.5,412.5,412.5,412.5,0.0,412.5
2010-05-21,412.5,412.5,412.5,412.5,0.0,412.5
2010-05-24,412.5,412.5,412.5,412.5,0.0,412.5
2010-05-25,412.5,375.0,412.5,375.0,0.0,375.0
2010-05-26,468.75,375.0,375.0,468.75,0.0,468.75
2010-05-27,468.75,412.5,468.75,412.5,0.0,412.5
2010-05-28,412.5,412.5,412.5,412.5,0.0,412.5
2010-06-01,412.5,412.5,412.5,412.5,0.0,412.5
2010-06-02,412.5,412.5,412.5,412.5,0.0,412.5
2010-06-03,412.5,412.5,412.5,412.5,0.0,412.5
2010-06-04,412.5,412.5,412.5,412.5,0.0,412.5
2010-06-07,281.25,281.25,281.25,281.25,0.0,281.25
2010-06-08,300.0,281.25,281.25,300.0,0.0,300.0
2010-06-09,300.0,300.0,300.0,300.0,0.0,300.0
2010-06-10,300.0,300.0,300.0,300.0,0.0,300.0
2010-06-11,356.25,356.25,356.25,356.25,0.0,356.25
2010-06-14,356.25,356.25,356.25,356.25,0.0,356.25
2010-06-15,356.25,356.25,356.25,356.25,0.0,356.25
2010-06-16,375.0,375.0,375.0,375.0,0.0,375.0
2010-06-17,375.0,375.0,375.0,375.0,0.0,375.0
2010-06-18,468.75,450.0,450.0,468.75,0.0,468.75
2010-06-21,468.75,468.75,468.75,468.75,0.0,468.75
2010-06-22,375.0,375.0,375.0,375.0,0.0,375.0
2010-06-23,375.0,375.0,375.0,375.0,0.0,375.0
2010-06-24,375.0,375.0,375.0,375.0,0.0,375.0
2010-06-25,375.0,300.0,300.0,375.0,0.0,375.0
2010-06-28,375.0,375.0,375.0,375.0,0.0,375.0
2010-06-29,440.625,356.25,375.0,403.125,0.0,403.125
2010-06-30,468.75,403.125,468.75,403.125,0.0,403.125
2010-07-01,403.125,403.125,403.125,403.125,0.0,403.125
2010-07-02,393.75,375.0,393.75,375.0,0.0,375.0
2010-07-06,468.75,468.75,468.75,468.75,0.0,468.75
2010-07-07,468.75,468.75,468.75,468.75,0.0,468.75
2010-07-08,515.625,468.75,468.75,515.625,0.0,515.625
2010-07-09,656.25,568.125,568.125,656.25,0.0,656.25
2010-07-12,712.5,712.5,712.5,712.5,0.0,712.5
2010-07-13,656.25,656.25,656.25,656.25,0.0,656.25
2010-07-15,431.25,431.25,431.25,431.25,0.0,431.25
2010-07-16,431.25,431.25,431.25,431.25,0.0,431.25
2010-07-19,618.75,543.75,543.75,618.75,0.0,618.75
2010-07-20,618.75,618.75,618.75,618.75,0.0,618.75
2010-07-21,431.25,431.25,431.25,431.25,0.0,431.25
2010-07-22,431.25,431.25,431.25,431.25,0.0,431.25
2010-07-23,468.75,468.75,468.75,468.75,0.0,468.75
2010-07-26,468.75,468.75,468.75,468.75,0.0,468.75
2010-07-27,468.75,468.75,468.75,468.75,0.0,468.75
2010-07-28,468.75,468.75,468.75,468.75,0.0,468.75
2010-07-29,431.25,431.25,431.25,431.25,0.0,431.25
2010-07-30,431.25,431.25,431.25,431.25,0.0,431.25
2010-08-02,431.25,431.25,431.25,431.25,0.0,431.25
2010-08-03,431.25,431.25,431.25,431.25,0.0,431.25
2010-08-04,412.5,412.5,412.5,412.5,0.0,412.5
2010-08-05,412.5,412.5,412.5,412.5,0.0,412.5
2010-08-06,412.5,412.5,412.5,412.5,0.0,412.5
2010-08-09,225.0,225.0,225.0,225.0,0.0,225.0
2010-08-10,225.0,225.0,225.0,225.0,0.0,225.0
2010-08-11,225.0,225.0,225.0,225.0,0.0,225.0
2010-08-12,281.25,281.25,281.25,281.25,0.0,281.25
2010-08-13,281.25,281.25,281.25,281.25,0.0,281.25
2010-08-16,412.5,393.75,412.5,393.75,0.0,393.75
2010-08-17,393.75,393.75,393.75,393.75,0.0,393.75
2010-08-18,412.5,412.5,412.5,412.5,0.0,412.5
2010-08-19,412.5,412.5,412.5,412.5,0.0,412.5
2010-08-20,412.5,412.5,412.5,412.5,0.0,412.5
2010-08-23,318.75,318.75,318.75,318.75,0.0,318.75
2010-08-24,318.75,318.75,318.75,318.75,0.0,318.75
2010-08-25,318.75,318.75,318.75,318.75,0.0,318.75
2010-08-26,318.75,318.75,318.75,318.75,0.0,318.75
2010-08-27,318.75,318.75,318.75,318.75,0.0,318.75
2010-08-30,318.75,318.75,318.75,318.75,0.0,318.75
2010-08-31,318.75,318.75,318.75,318.75,0.0,318.75
2010-09-01,281.25,281.25,281.25,281.25,0.0,281.25
2010-09-02,281.25,281.25,281.25,281.25,0.0,281.25
2010-09-03,281.25,281.25,281.25,281.25,0.0,281.25
2010-09-07,281.25,281.25,281.25,281.25,0.0,281.25
2010-09-08,281.25,281.25,281.25,281.25,0.0,281.25
2010-09-09,281.25,281.25,281.25,281.25,0.0,281.25
2010-09-10,637.5,281.25,281.25,581.25,0.0,581.25
2010-09-13,393.75,393.75,393.75,393.75,0.0,393.75
2010-09-14,412.5,300.0,412.5,393.75,0.0,393.75
2010-09-15,525.0,337.5,393.75,525.0,0.0,525.0
2010-09-16,525.0,525.0,525.0,525.0,0.0,525.0
2010-09-17,525.0,525.0,525.0,525.0,0.0,525.0
2010-09-20,525.0,525.0,525.0,525.0,0.0,525.0
2010-09-21,412.5,300.0,300.0,412.5,0.0,412.5
2010-09-22,412.5,412.5,412.5,412.5,0.0,412.5
2010-09-23,412.5,337.5,337.5,337.5,0.0,337.5
2010-09-24,337.5,318.75,337.5,318.75,0.0,318.75
2010-09-27,318.75,318.75,318.75,318.75,0.0,318.75
2010-09-28,318.75,318.75,318.75,318.75,0.0,318.75
2010-09-29,318.75,318.75,318.75,318.75,0.0,318.75
2010-09-30,318.75,318.75,318.75,318.75,0.0,318.75
2010-10-01,281.25,281.25,281.25,281.25,0.0,281.25
2010-10-04,281.25,281.25,281.25,281.25,0.0,281.25
2010-10-05,281.25,262.5,281.25,262.5,0.0,262.5
2010-10-06,281.25,262.5,281.25,262.5,0.0,262.5
2010-10-07,268.125,264.375,264.375,268.125,0.0,268.125
2010-10-08,268.125,268.125,268.125,268.125,0.0,268.125
2010-10-11,268.125,268.125,268.125,268.125,0.0,268.125
2010-10-12,281.25,281.25,281.25,281.25,0.0,281.25
2010-10-13,281.25,281.25,281.25,281.25,0.0,281.25
2010-10-14,281.25,281.25,281.25,281.25,0.0,281.25
2010-10-15,281.25,281.25,281.25,281.25,0.0,281.25
2010-10-18,281.25,281.25,281.25,281.25,0.0,281.25
